drill bit ,mean Thrust,mean torque,thrust_non_zero,Torque_non_zero,Torque_zero,degradation,Area,max Thrust,max Torque,RUL
d11h1,236.6420815,16.0600593,24.468,0.66488,0.66488,0.04004004,4964.669594,390,32.246,22
d11h2,248.8594535,18.06748505,15.957,0.66488,0.33244,0.07967968,5374.500486,429.48,33.576,21
d11h3,249.1685641,18.19844399,2.1277,0.99731,0.33244,0.119319319,5678.024891,428.06,35.571,20
d11h4,245.669216,17.9300585,20.213,0.66488,0.99731,0.159359359,5000.62,443.72,35.238,19
d11h5,245.4366573,17.92827513,24.468,0.33244,1.9946,0.199399399,5000.62,446.57,36.901,18
d11h6,241.3874686,17.57359123,21.277,0.99731,1.3298,0.24024024,5179.776909,455.11,36.236,17
d11h7,248.8651647,18.5966797,19.149,0.99731,1.6622,0.28048048,5791.292353,470.78,37.565,16
d11h8,247.3643549,18.33621951,1.0638,0.66488,1.3298,0.321321321,6090.673553,507.99,40.557,15
d11h9,240.7051861,17.61922726,6.383,0.66488,0.99731,0.362962963,6055.419768,499.25,42.22,14
d11h10,242.3454218,18.05323301,1.0638,0.33244,0.33244,0.406206206,6626.760777,505.07,41.887,13
d11h11,258.0749951,19.65781525,8.5106,0.66488,0.33244,0.447047047,6768.309449,513.82,41.887,12
d11h12,254.0135794,19.17005584,24.468,0.66488,0.66488,0.488888889,7167.812831,392.74,32.579,11
d11h13,261.3965136,20.01245592,15.957,0.33244,0.66488,0.53013013,7429.694345,531.32,43.549,10
d11h14,267.0431384,19.86594488,1.0638,0.66488,0.33244,0.572372372,7580.96772,524.03,42.884,9
d11h15,275.7810094,20.59705703,5.3192,0.33244,1.6622,0.614814815,8022.707848,541.53,46.874,8
d11h16,284.5105721,21.58370302,4.2553,0.66488,0.33244,0.657857858,9701.736028,726.57,84.772,7
d11h17,289.862737,22.14713949,20.213,0.33244,1.3298,0.701101101,9443.188277,405.28,31.582,6
d11h18,286.8925142,21.76096647,2.1277,0.66488,0.33244,0.744744745,9604.071841,388.63,31.582,5
d11h19,288.3727954,22.32212688,22.34,0.33244,0.33244,0.788388388,10198.73743,391.37,33.909,4
d11h20,296.3594865,22.60724,8.5106,0.33244,0.66488,0.833033033,10663.77821,392.74,33.576,3
d11h21,303.7747642,22.04976314,15.957,0.33244,0.33244,0.878878879,9608.175077,401.01,33.909,2
d11h22,288.4334,25.0508809,2.1277,0.99731,2.3271,0.927927928,13080.45747,413.82,34.574,1
d11h23,442.3386903,50.67644928,9.5745,0.33244,0.66488,1,27868.68227,416.67,31.914,0
d12h1,251.1488222,16.3271234,4.2553,0.33244,3.3244,0.044684129,5332.146469,413.82,30.584,20
d12h2,266.4812376,19.09977702,2.1277,0.33244,0.33244,0.089808497,7081.140137,456.54,33.576,19
d12h3,268.2686632,18.68661794,7.4468,0.33244,0.99731,0.134712745,6421.42435,449.42,33.909,18
d12h4,269.5615427,19.08128505,11.702,0.33244,0.33244,0.180057231,6952.466761,460.81,34.906,17
d12h5,266.9241768,18.80763169,9.5745,0.33244,0.33244,0.225401717,6952.466761,486.44,36.568,16
d12h6,260.835463,18.33044817,7.4468,0.33244,1.6622,0.271186441,6702.654019,509.44,39.56,15
d12h7,251.7127758,17.66713921,1.0638,0.33244,0.33244,0.318511996,6710.395188,486.44,39.893,14
d12h8,270.418547,18.9822084,3.1915,0.33244,0.33244,0.362535769,6368.396722,526.95,42.552,13
d12h9,269.2817282,19.2418803,12.766,0.33244,0.33244,0.40699978,6937.102469,528.41,41.555,12
d12h10,277.9837128,19.53195813,21.277,0.66488,0.33244,0.451683909,7261.077143,541.53,43.882,11
d12h11,270.1873473,19.02679922,19.149,0.33244,1.9946,0.496808276,6964.590784,544.45,44.547,10
d12h12,269.8884509,19.28297958,17.021,0.33244,0.33244,0.543473476,7561.1762,453.69,37.233,9
d12h13,288.1971149,20.94037837,12.766,0.33244,0.66488,0.589258199,8406.565656,567.79,44.879,8
d12h14,288.8436134,21.15040862,15.957,0.33244,0.33244,0.637023993,9407.189924,606.03,54.852,7
d12h15,284.5108829,20.94513806,1.0638,0.66488,0.66488,0.684789786,8510.090714,435.18,32.911,6
d12h16,296.867465,22.21743277,1.0638,0.33244,0.66488,0.733215937,10374.7662,452.27,34.241,5
d12h17,286.6481576,21.51410952,1.0638,0.66488,0.33244,0.783623157,10518.43704,446.57,33.244,4
d12h18,295.191716,22.66634907,2.1277,0.66488,0.66488,0.833149901,11088.17858,439.45,33.244,3
d12h19,286.1472483,21.95495742,1.0638,0.66488,0.99731,0.885097953,11449.50757,440.87,33.244,2
d12h20,308.3483323,23.95701884,1.0638,0.33244,0.66488,0.936165529,12761.04919,433.76,32.911,1
d12h21,277.1466638,28.43377114,1.0638,0.33244,0.66488,1,18978.51076,442.3,33.909,0
d13h1,253.760478,16.07667195,5.3192,0.33244,1.3298,0.020637705,5560.536895,430.91,31.249,44
d13h2,268.9192193,17.84140391,10.638,0.66488,0.33244,0.041481787,6213.892979,433.76,32.579,43
d13h3,265.446909,17.88878542,24.468,0.33244,1.3298,0.062222681,5837.480671,447.99,31.914,42
d13h4,263.7646587,17.5223884,7.4468,0.66488,0.33244,0.083479517,6133.267562,460.81,31.914,41
d13h5,261.8432515,17.67784922,9.5745,0.33244,0.33244,0.104736353,6133.267562,456.54,32.246,40
d13h6,264.4507828,17.56544588,8.5106,0.33244,0.33244,0.125786813,5946.517355,446.57,32.579,39
d13h7,266.9384966,17.88447517,27.66,0.33244,0.33244,0.146734083,6077.489339,457.96,32.911,38
d13h8,267.089001,17.83046005,3.1915,0.33244,0.66488,0.167681354,6234.236966,428.06,32.579,37
d13h9,273.1668545,18.2441869,28.723,0.33244,0.33244,0.188319059,5960.84071,425.21,32.246,36
d13h10,265.8815833,17.87178912,1.0638,0.33244,0.33244,0.209369518,6180.773229,456.54,33.244,35
d13h11,269.8528792,18.28732522,7.4468,0.33244,0.66488,0.230729543,6660.817268,456.54,32.911,34
d13h12,271.3906854,18.4170799,13.83,0.33244,0.33244,0.251883191,7057.263638,439.45,30.584,33
d13h13,268.9793813,18.38112206,5.3192,0.66488,0.66488,0.273449592,6830.70629,433.76,33.909,32
d13h14,270.5494391,18.78997754,2.1277,0.66488,0.33244,0.294809617,6717.107562,445.15,35.571,31
d13h15,273.8352889,18.80031154,4.2553,0.66488,0.66488,0.31627283,7048.002677,460.81,34.574,30
d13h16,270.693461,18.44950151,12.766,0.33244,0.99731,0.337426478,6115.155473,455.11,33.909,29
d13h17,262.0091848,18.45193402,8.5106,0.33244,0.66488,0.358476937,6303.142529,462.23,34.241,28
d13h18,273.4297912,18.82734478,22.34,0.66488,0.99731,0.379630585,7069.871151,436.6,34.241,27
d13h19,273.1705792,18.80600831,3.1915,0.99731,1.3298,0.40099061,6997.035993,447.99,33.244,26
d13h20,268.8708783,18.64222053,21.277,0.99731,0.33244,0.422350635,6370.895324,452.27,34.906,25
d13h21,274.4025437,19.05384063,22.34,0.66488,0.66488,0.443607471,6587.634417,460.81,34.906,24
d13h22,270.8150123,18.89698275,12.766,0.66488,0.33244,0.46538025,7295.604719,449.42,34.906,23
d13h23,264.4702195,18.55467879,1.0638,0.66488,0.66488,0.487565783,7225.26848,423.79,31.914,22
d13h24,267.6135962,18.82978962,23.404,0.33244,0.33244,0.50944175,7257.142076,470.78,34.906,21
d13h25,272.4993903,19.27658797,26.596,0.66488,0.99731,0.530801775,6570.103497,486.44,35.238,20
d13h26,268.8583214,19.03443233,5.3192,0.66488,1.3298,0.552471365,7044.041719,485.01,35.903,19
d13h27,270.6911104,19.17900431,2.1277,0.33244,0.33244,0.574244144,7019.809618,479.32,37.565,18
d13h28,265.8501511,18.77748348,21.277,0.33244,0.33244,0.597048808,7327.342917,497.83,36.901,17
d13h29,272.5516633,19.53309929,13.83,0.66488,0.66488,0.618718399,7045.234485,521.11,36.568,16
d13h30,270.7670271,19.10604477,13.83,0.66488,0.66488,0.641213497,7645.740246,513.82,37.233,15
d13h31,276.2256055,19.32713628,2.1277,0.33244,0.33244,0.663708596,8235.884138,502.15,36.568,14
d13h32,272.5088482,19.33832126,1.0638,0.33244,1.3298,0.686616448,8343.101712,519.65,38.563,13
d13h33,288.8742123,20.68642226,22.34,0.33244,1.3298,0.708492416,8162.09361,528.41,38.23,12
d13h34,279.8837387,19.64677284,7.4468,0.66488,0.33244,0.731400268,8643.413537,435.18,30.584,11
d13h35,289.2809617,19.93748692,1.0638,0.33244,0.66488,0.754824064,9526.975054,519.65,39.56,10
d13h36,293.9781873,20.51338249,1.0638,0.66488,0.33244,0.777628728,9237.012345,534.24,39.56,9
d13h37,279.3775393,19.56738908,1.0638,0.33244,0.99731,0.8012589,8878.274738,531.32,38.563,8
d13h38,278.0702417,20.01131996,2.1277,0.33244,0.33244,0.825508203,9752.515208,547.37,40.89,7
d13h39,294.68453,20.90697211,2.1277,0.33244,0.99731,0.848931999,10011.30254,559.04,42.552,6
d13h40,277.8051937,19.83033403,1.0638,0.66488,0.33244,0.873490868,9635.783781,612.19,46.874,5
d13h41,306.1938878,21.82410108,6.383,0.66488,0.33244,0.89639872,10306.14934,416.67,31.914,4
d13h42,291.5446268,21.0595817,1.0638,0.66488,1.3298,0.920648024,10223.76365,429.48,30.917,3
d13h43,288.2686298,20.69794796,1.0638,0.66488,0.33244,0.945929213,11057.14259,432.33,31.914,2
d13h44,313.4916957,22.61151009,21.277,0.66488,0.66488,0.969868951,11474.34895,443.72,31.249,1
d13h45,282.1944288,26.60981538,1.0638,0.33244,0.33244,1,17638.48138,433.76,31.249,0
d14h1,251.0508853,16.07435814,12.766,0.33244,1.3298,0.020719074,5134.508172,410.97,28.922,44
d14h2,268.6645318,18.53549199,35.106,0.33244,0.66488,0.041133455,6887.862507,447.99,33.244,43
d14h3,267.6553894,18.74015111,12.766,0.33244,0.33244,0.061344709,6533.194633,440.87,34.574,42
d14h4,265.4650343,18.48483652,8.5106,0.33244,0.66488,0.082368475,7070.30353,438.03,32.911,41
d14h5,253.7678728,17.50585843,23.404,0.33244,0.33244,0.103392241,7070.30353,450.84,33.909,40
d14h6,262.7258498,18.43692313,19.149,0.66488,1.9946,0.124822263,6782.682939,443.72,32.579,39
d14h7,266.1804231,18.78594058,27.66,0.99731,0.66488,0.145947593,6459.308415,445.15,34.241,38
d14h8,257.0649985,18.29714373,20.213,0.33244,1.3298,0.166666667,6661.053868,447.99,32.579,37
d14h9,258.9983833,18.09638876,5.3192,0.33244,0.33244,0.187893561,6724.929836,440.87,32.246,36
d14h10,261.1116057,18.40752552,22.34,0.66488,0.33244,0.209222019,6912.980693,452.27,33.244,35
d14h11,259.6309129,18.38700319,22.34,0.66488,0.66488,0.230550477,6631.302544,460.81,34.241,34
d14h12,256.1830536,18.0614277,21.277,0.33244,1.6622,0.251777372,6382.639412,436.6,33.244,33
d14h13,255.9430316,17.96708358,12.766,0.66488,0.66488,0.27361365,6813.910217,433.76,34.574,32
d14h14,258.0281184,18.13511524,2.1277,0.33244,0.66488,0.295145237,6671.060468,449.42,33.909,31
d14h15,262.5072386,18.39175629,11.702,0.99731,1.3298,0.316473695,6730.797327,443.72,33.576,30
d14h16,257.7200244,18.00987147,1.0638,0.66488,0.99731,0.338513102,6898.467062,450.84,34.241,29
d14h17,247.5500493,17.37399864,1.0638,0.33244,1.6622,0.360958765,6689.454073,436.6,32.911,28
d14h18,265.3993872,18.71735261,4.2553,0.33244,0.66488,0.382388787,7208.447289,459.38,33.909,27
d14h19,253.9536271,17.79069575,1.0638,0.66488,1.3298,0.404834451,7353.424027,472.2,33.909,26
d14h20,253.7375286,18.55371378,2.1277,0.66488,0.99731,0.426873857,7006.463211,430.91,32.911,25
d14h21,259.8225019,18.4980212,21.277,0.66488,0.66488,0.4488117,7197.794979,475.05,36.236,24
d14h22,255.1810023,18.28866972,7.4468,0.66488,0.33244,0.470952671,6954.760008,469.35,35.238,23
d14h23,264.2820892,19.02231925,3.1915,0.33244,0.33244,0.492585822,7158.360614,435.18,34.241,22
d14h24,263.1202117,18.94270146,7.4468,0.66488,0.33244,0.514218972,6829.987099,453.69,34.906,21
d14h25,272.8217014,19.3142983,1.0638,0.33244,1.3298,0.535750559,7379.399331,477.89,36.236,20
d14h26,268.7176925,19.03442266,1.0638,0.99731,0.33244,0.557485273,7834.688628,470.78,35.571,19
d14h27,265.9760175,19.22468303,9.5745,0.66488,0.33244,0.578915296,6683.163226,469.35,36.236,18
d14h28,275.971254,19.82336858,15.957,0.33244,0.33244,0.600345318,8043.386012,496.4,38.23,17
d14h29,271.8106982,19.32431728,7.4468,0.66488,0.66488,0.622384725,7686.396351,505.07,37.565,16
d14h30,268.7881377,19.43598619,22.34,0.33244,0.33244,0.644221003,7339.083221,515.28,36.901,15
d14h31,280.1801971,19.8460533,5.3192,0.33244,0.66488,0.665447898,8035.305721,515.28,36.901,14
d14h32,269.7418173,18.75253141,14.894,0.33244,0.66488,0.687791997,7631.87964,519.65,37.233,13
d14h33,266.7369636,19.44307209,1.0638,0.33244,0.33244,0.710136096,7982.044937,512.36,39.228,12
d14h34,287.1983465,20.58794763,4.2553,0.33244,0.99731,0.731972375,8691.805637,452.27,32.579,11
d14h35,286.7008114,20.265124,17.021,0.33244,0.66488,0.754316474,8856.217058,522.57,37.565,10
d14h36,287.3465336,20.21016148,1.0638,0.33244,0.66488,0.776965265,9221.113781,548.83,39.228,9
d14h37,289.9355632,20.49629545,1.0638,0.33244,0.99731,0.799309364,9224.002803,548.83,40.225,8
