drill bit,mean Thrust,mean torque,thrust_non_zero,Torque_non_zero,degradation,Torque_zero,Area,max Thrust,max Torque,RUL
d1h1,215.4912661,13.1937655,4.0348,0.66488,0.040864865,6.6488,3236.608547,311.93,27.26,20
d1h2,228.3466007,16.09672229,5.0986,0.66488,0.081513514,4.3217,4227.903523,433.89,31.249,19
d1h3,231.9657546,16.1533799,23.184,0.33244,0.123243243,1.6622,4506.10541,442.44,31.249,18
d1h4,233.3036578,16.71808645,10.418,0.33244,0.165837838,1.9946,5408.679635,445.29,34.906,17
d1h5,236.305795,17.07068025,5.0986,0.33244,0.208432432,2.3271,5408.679635,472.34,32.246,16
d1h6,240.6188416,17.6873439,17.865,0.66488,0.251675676,3.6568,6224.611538,490.85,36.236,15
d1h7,241.5413025,18.12610153,11.482,0.99731,0.295351351,2.6595,6128.373096,503.78,37.565,14
d1h8,245.7293205,17.56833421,12.545,0.66488,0.340540541,3.9893,6469.228769,502.33,36.236,13
d1h9,233.5609903,16.63715312,1.9071,0.66488,0.387675676,1.3298,6218.796748,496.54,36.568,12
d1h10,254.6418799,18.4167362,-0.22054,0.99731,0.432648649,2.9919,7096.978003,505.24,38.563,11
d1h11,245.8241374,17.448565,4.0348,0.66488,0.481081081,1.6622,7129.624799,527.12,37.233,10
d1h12,256.3796551,18.25275314,2.9709,0.99731,0.529297297,1.3298,7295.662033,325.64,29.587,9
d1h13,269.8414085,18.0162825,-0.22054,0.33244,0.576,0.99731,7644.227258,524.2,39.56,8
d1h14,278.3323855,20.54223964,0.84329,1.6622,0.624,1.9946,9286.04618,592.76,45.876,7
d1h15,281.7989073,20.67310727,2.9709,1.6622,0.671567568,1.9946,9608.768524,343.47,27.925,6
d1h16,258.8670159,19.63570988,0.84329,1.9946,0.724108108,1.9946,9745.512645,381.86,28.59,5
d1h17,284.6927959,21.10532613,1.9071,1.9946,0.772108108,2.3271,9493.02335,385.97,29.587,4
d1h18,278.9893247,20.70072913,2.9709,1.9946,0.821837838,1.6622,9744.414239,399.72,28.59,3
d1h19,284.6613745,20.88841489,5.0986,2.3271,0.872648649,1.9946,10585.57822,396.94,30.584,2
d1h20,289.9881818,21.88997574,1.9071,1.9946,0.923459459,3.9893,10870.93467,419.66,30.917,1
d1h21,223.7592,22.67058,2.9709,1.9946,1,1.9946,17331.91813,415.38,29.587,0
d2h1,210.4581476,15.01272164,11.482,0.99731,0.04370777,2.6595,4764.025634,355.81,27.925,19
d2h2,228.1886143,16.7033682,2.9709,1.3298,0.0859375,0.99731,4619.171714,432.47,33.576,18
d2h3,234.346057,17.07333436,4.0348,1.3298,0.129011824,0.99731,5979.344697,438.17,32.246,17
d2h4,244.0088221,17.72175925,2.9709,1.6622,0.171452703,0.99731,6320.584283,470.91,38.895,16
d2h5,236.680331,17.22515561,12.545,1.3298,0.213893581,1.3298,6320.584283,468.07,37.565,15
d2h6,242.0411701,17.58807734,2.9709,1.6622,0.256756757,1.3298,5883.23824,478.03,38.23,14
d2h7,248.0471219,18.02391981,6.1624,1.6622,0.300464527,1.3298,6638.717072,496.54,37.565,13
d2h8,240.7955873,17.91086807,7.2263,1.3298,0.345228041,0.99731,6340.030387,496.54,37.565,12
d2h9,247.4149969,18.59742273,4.0348,1.3298,0.389358108,2.9919,6556.133245,496.54,41.222,11
d2h10,251.4939974,19.44366124,11.482,1.6622,0.433488176,1.9946,7479.354443,516.91,39.228,10
d2h11,251.7432303,19.28751475,5.0986,1.9946,0.479307432,1.9946,7390.653707,531.5,46.541,9
d2h12,237.8335593,18.85753125,-0.22054,2.6595,0.529983108,2.6595,8945.751236,355.81,29.255,8
d2h13,268.9348718,22.23062798,4.0348,3.3244,0.576013514,3.6568,9344.356588,582.55,63.828,7
d2h14,271.2324403,21.63691937,0.84329,2.9919,0.622888514,3.3244,9459.117566,396.94,28.59,6
d2h15,275.3791378,21.96774978,-0.22054,3.3244,0.669974662,3.9893,10091.71403,408.27,29.587,5
d2h16,275.5719631,21.31626682,0.84329,2.6595,0.717060811,2.9919,9722.655418,392.83,28.922,4
d2h17,241.0806468,18.64514607,12.545,2.3271,0.7734375,1.9946,9649.786978,394.2,29.255,3
d2h18,240.808421,18.97850593,6.1624,1.9946,0.830447635,3.9893,10555.40041,425.35,29.587,2
d2h19,263.4000796,21.25299692,5.0986,2.3271,0.885346284,3.9893,11608.38958,412.54,31.249,1
d2h20,149.7506576,17.54391676,7.2263,2.6595,1,1.3298,17397.58887,413.96,31.249,0
d3h1,215.4912661,13.1937655,4.0348,0.66488,0.047368421,6.6488,3236.608547,311.93,27.26,19
d3h2,233.680913,17.72764451,9.3539,0.66488,0.093483709,0.99731,5464.049873,409.69,31.582,18
d3h3,242.6612589,18.52668043,-1.2844,0.33244,0.139849624,0.66488,5769.835662,439.59,35.571,17
d3h4,242.2920442,19.05799796,-0.22054,0.99731,0.186466165,0.66488,6122.083073,468.07,37.898,16
d3h5,249.5511543,19.60846403,6.1624,0.99731,0.233082707,0.66488,6122.083073,460.95,38.23,15
d3h6,245.8646749,20.0387408,14.673,1.3298,0.279949875,0.99731,6666.354871,479.46,38.563,14
d3h7,248.4244406,21.19022688,5.0986,1.9946,0.326566416,1.9946,7204.964657,485.15,37.565,13
d3h8,252.0513481,20.6627139,-1.2844,1.6622,0.373433584,1.6622,6942.116761,495.12,38.23,12
d3h9,251.4758147,20.61991968,7.2263,0.99731,0.421052632,1.3298,7493.758594,532.96,37.565,11
d3h10,253.6112835,20.46865106,6.1624,0.99731,0.468421053,1.6622,7238.60243,505.24,40.89,10
d3h11,278.5036639,22.17589173,8.2901,1.3298,0.516290727,1.3298,8548.5854,566.5,43.217,9
d3h12,292.1316055,23.81670829,-0.22054,1.6622,0.564661654,2.3271,9766.290471,359.92,29.587,8
d3h13,290.1311391,23.58574844,1.9071,1.9946,0.612781955,1.9946,9398.020908,909.16,83.442,7
d3h14,292.851399,23.82586082,5.0986,1.9946,0.661403509,1.9946,10172.97357,379.12,30.917,6
d3h15,297.773661,24.04293026,-1.2844,1.9946,0.710275689,1.9946,10459.97238,375,33.909,5
d3h16,300.6471424,24.01143706,11.482,1.9946,0.759649123,1.6622,10489.12411,381.86,32.579,4
d3h17,315.411836,24.2646585,13.609,1.9946,0.809774436,1.9946,11615.78508,385.97,32.246,3
d3h18,306.0100626,25.30787438,2.9709,1.9946,0.860651629,1.9946,11609.86441,391.46,34.574,2
d3h19,341.7170647,28.05966522,6.1624,1.6622,0.912531328,1.6622,14788.97982,394.2,32.579,1
d3h20,312.1634814,25.99779112,6.1624,1.9946,1,28.59,25365.57865,401.15,34.906,0
d4h1,228.2993915,13.58133783,1.0638,0.33244,0.058628319,0.99731,4573.561143,383.14,27.925,15
d4h2,253.69034,15.95703675,4.2553,0.33244,0.113938053,0.66488,5603.625471,494.98,34.241,14
d4h3,247.020308,16.24983869,17.021,0.33244,0.227599558,0.33244,6124.614927,505.07,34.241,13
d4h4,264.5725735,17.62582595,15.957,0.33244,0.282909292,0.33244,6363.357284,525.49,33.909,12
d4h5,262.8991697,17.50011284,11.702,0.33244,0.338219027,0.33244,6363.357284,521.11,37.565,11
d4h6,258.5219827,17.0870012,9.5745,0.33244,0.39574115,0.33244,6607.971522,545.91,36.568,10
d4h7,266.4550573,17.69504942,13.83,0.33244,0.452710177,0.66488,6660.657944,588.21,41.222,9
d4h8,273.1116648,18.37907452,11.702,0.33244,0.510785398,0.33244,7179.679625,846.04,82.445,8
d4h9,284.7482949,19.29057396,10.638,0.33244,0.57079646,0.66488,8782.130985,418.09,27.592,7
d4h10,289.7335949,19.6045272,11.702,0.33244,0.629977876,0.33244,8772.922002,418.09,28.257,6
d4h11,289.481814,19.50702095,5.3192,0.33244,0.691095133,0.33244,9047.734018,428.06,28.922,5
d4h12,299.3134495,20.00316833,1.0638,0.66488,0.752488938,0.99731,9676.003509,419.52,29.919,4
d4h13,252.7618744,17.24429951,3.1915,0.33244,0.826050885,0.66488,9656.234586,438.03,30.252,3
d4h14,314.0628646,21.04346229,18.085,0.33244,0.887721239,0.66488,10507.32755,438.03,32.579,2
d4h15,327.0930137,22.47224209,21.277,0.33244,0.952433628,1.6622,12555.71061,456.54,31.249,1
d4h16,518.218493,40.82025128,1.0638,0.33244,1,24.6,25488.40433,496.4,33.244,0
d5h1,207.8667406,12.89220091,14.894,0.66488,0.050125887,2.3271,4310.903554,354.35,25.93,18
d5h2,243.9638705,16.08337845,1.0638,0.33244,0.095902953,1.3298,5471.568129,445.15,31.582,17
